,College Name,Admissions Rate,Yield,Men Admissions Rate,Women Admissions Rate,Men Applied,Men Admitted,Men Enrolled,Women Admitted,Women Applied,Women Enrolled,Number of ED Applicants,Number of ED Applicants Admitted,EA Deadline,EA Notification,ED I Deadline,ED I Notification,ED II Deadline,ED II Notification,Average GPA,SAT Math 25%,SAT Math 75%,SAT Reading 25%,SAT Reading 75%,GPA >3.75,GPA >3.50,GPA >3.25,GPA >3.00,GPA >2.50,GPA >2.00,GPA >1.00 ,SAT Math (200-299),SAT Math (700-800),SAT Math (600-699),SAT Math (500-599),SAT Math (400-499),SAT Math (300-399),SAT Reading (700-800),SAT Reading (600-699),SAT Reading (500-599),SAT Reading (400-499),SAT Reading (300-399),SAT Reading (200-299),filename
132,University of San Diego,0.5291638443591481,0.18603328118333096,0.5188323917137476,0.5360411182148678,5310.0,2755.0,516.0,4276.0,7977.0,792.0,,,,Common Data Set 2018-2019,Common Data Set 2018-2019,,,,,,,600.0,670.0,0.7,0.19,0.07,0.03,0.01,,,,0.22,0.52,0.24,,0.02,0.15,0.61,0.23,,0.01,,university_of_san_diego.txt
133,Washington and Lee University,0.21998166819431714,0.3925,0.21852820321255137,0.22138228941684665,2677.0,585.0,247.0,615.0,2778.0,224.0,579.0,268.0,,Common Data Set 2017-2018,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,,,,680.0,750.0,,,,,,,,,0.53,0.47,,,,0.55,0.44,,,,,washington_and_lee_university.txt
134,Williams College,0.1297071129707113,0.42983870967741933,0.1285650623885918,0.13071766561514195,4488.0,577.0,257.0,663.0,5072.0,276.0,748.0,258.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,,,,770.0,739.0,740.0,729.0,,,,,,,,0.0,0.7639,0.20329999999999998,0.032799999999999996,0.0,0.0,0.8033,0.1869,0.0098,0.0,0.0,0.0,williams_college.txt
135,Pitzer College,0.1620037303490541,0.4309210526315789,0.20952380952380953,0.1379863618130766,1260.0,264.0,116.0,344.0,2493.0,146.0,381.0,123.0,,,2019-11-15 00:00:00,2019-12-18 00:00:00,2020-01-01 00:00:00,2020-02-12 00:00:00,3.89,670.0,750.0,640.0,740.0,0.6899,0.18989999999999999,0.0698,0.0426,0.0078000000000000005,0.0,0.0,0.0,0.5769,0.3718,0.0513,0.0,0.0,0.4744,0.42310000000000003,0.1026,0.0,0.0,0.0,pitzer_college.txt
136,University of Pittsburgh at Greensburg,0.6402753872633391,,0.6074429771908764,0.6586183769282361,833.0,506.0,,982.0,1491.0,,,,,,,,,,3.47,500.0,590.0,510.0,600.0,0.3,0.22,0.17,0.16,0.13,0.01,0.01,0.0,0.01,0.2,0.55,0.23,0.01,0.0,0.28,0.53,0.19,0.0,0.0,university_of_pittsburg-greensburg.txt
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university_of_buffalo.txt
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,washington_university.txt
139,Vassar College,0.2378001549186677,0.33930510314875134,0.3518018018018018,0.19200144770177344,2220.0,781.0,245.0,1061.0,5526.0,380.0,657.0,274.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-01-01 00:00:00,,680.0,760.0,690.0,750.0,,,,,,,,1.0,0.6349,0.33509999999999995,0.0218,0.008199999999999999,,0.7221,0.2616,0.0163,0.0,,1.0,vassar_college.txt
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university_of_colorado-boulder.txt
141,University of Richmond,0.32967142714471187,0.24204786428355043,0.3466542750929368,0.31686810299527063,4304.0,1492.0,372.0,1809.0,5709.0,427.0,674.0,333.0,2019-11-01 00:00:00,2020-01-20 00:00:00,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-15 00:00:00,2020-02-15 00:00:00,,640.0,750.0,630.0,710.0,,,,,,,,0.0,0.4578,0.4006,0.1386,0.003,0.0,0.3825,0.5151,0.1024,0.0,0.0,0.0,university_of_richmond.txt
142,Texas Christian University,0.42159890204151657,0.3965412004069176,,0.42159890204151657,,,822.0,4915.0,11658.0,1127.0,1055.0,362.0,,2019-12-15 00:00:00,2019-11-01 00:00:00,2019-12-05 00:00:00,,,,560.0,670.0,570.0,660.0,,,,,,,,0.0,,,,,,,,,,,0.0,texas_christian_university.txt
143,Connecticut College,0.41152132399745384,0.3433874709976798,,0.41152132399745384,,,166.0,1293.0,3142.0,278.0,325.0,217.0,,,2019-11-15 00:00:00,2019-12-15 00:00:00,,,,630.0,690.0,640.0,710.0,,,,,,,,1.0,0.2391,0.5978,0.1413,,,0.337,0.5760000000000001,0.087,,,1.0,connecticut_college.txt
144,Harvard University,0.051561788082822864,0.8281786941580757,0.05221918916186432,0.050902453863313726,19782.0,1033.0,850.0,1004.0,19724.0,837.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,,4.18,730.0,800.0,730.0,790.0,0.9269,0.0552,0.0138,0.0040999999999999995,,,,1.0,0.8765999999999999,0.11539999999999999,0.008,,,0.8721,0.1137,0.014199999999999999,,,1.0,harvard_university.txt
